n,i,j,pstar,E,F3,F3_sign,S_minus,S_plus,slope_left,slope_right,certified_by
200,111,122,0.5821732361100581,189.3578139032799,30.26870285759611,+,-0.1862115400932464,0.2749067372306677,-0.7655227483236461,1.130152088920614,double
200,112,122,0.5846483438068311,189.3674255830103,31.79620191947178,+,-0.3336937617347876,0.1088325258888726,-1.374160363406199,0.4481754245221086,double
200,112,123,0.5871537417726957,189.377257785483,31.74637362966301,+,-0.1017801957710008,0.3596433277095878,-0.4198779771562527,1.483651232860663,double
200,113,123,0.5896279291832933,189.3874494519332,33.35179623304698,+,-0.2475185673215318,0.1953944748266184,-1.02294418996323,0.8075258552832548,double
200,113,124,0.592134304562838,189.3978743086682,33.21971413687768,+,-0.01801678569440505,0.4437294288463167,-0.07460018615350741,1.837303199094185,double
200,114,123,0.5921027625893388,189.397872111347,34.92838565664722,+,-0.3671477915539179,0.05166652727459403,-1.520173189598588,0.2139249407713451,double
200,114,124,0.5946075632723151,189.4086485784175,34.90367864958579,+,-0.162186304867189,0.2811358815298865,-0.6728342772507986,1.166299816826857,double
200,115,124,0.5970815505508528,189.4196559877665,36.55322780467689,+,-0.2804896717344316,0.1388022877401227,-1.165912794616055,0.5769601504308172,double
200,115,125,0.5995872494353889,189.4310298098774,36.45159302336596,+,-0.07750577995789468,0.366247974493611,-0.3228299387844976,1.525509597477127,double
200,116,125,0.6020603819372272,189.4426249007284,38.17474360839714,+,-0.1946201539634116,0.2251757509806437,-0.8123264290438873,0.9398626502770622,double
200,117,125,0.6045344556691746,189.4545946243119,39.84691347355104,+,-0.3125345075868192,0.07774180034107325,-1.307278944208003,0.3251807918921583,double
200,117,126,0.6070392596072013,189.4667862710702,39.79271408838244,+,-0.1075156394738132,0.3128106901010664,-0.4507188270346915,1.311341010631341,double
200,118,126,0.6095125538374008,189.4793498209375,41.53335452014156,+,-0.2241656248168607,0.166693212204107,-0.9418446696817853,0.7003710471435498,double
200,118,127,0.6120181865268495,189.4921486924031,41.40691204332904,+,-0.02301522551631021,0.397868189294308,-0.09692583216713919,1.675573646360958,double
200,119,126,0.6119870061225002,189.4921472295901,43.20572611848306,+,-0.3106885362352729,0.04529598614421371,-1.308388620303958,0.1907529435577757,double
200,119,127,0.6144906919497608,189.505309539247,43.21671986841609,+,-0.1390530967268837,0.2524177030881017,-0.5869897097009783,1.065539694884241,double
200,120,127,0.6169644418684093,189.5187066589633,44.95219938512163,+,-0.2252856295825992,0.1313368064863591,-0.9533102507797425,0.55575992201587,double
200,120,128,0.619468872478388,189.5324815653538,44.89681916412232,+,-0.05593535550302831,0.3361771686462182,-0.2372885192280388,1.426128105005376,double
200,121,127,0.6194395716183981,189.5324845426566,46.60132808862632,+,-0.3086071516293715,0.0080300568199142,-1.309131922229256,0.03406403145475231,double
200,121,128,0.6219419108706817,189.5464827591803,46.69609860923126,+,-0.136384566445292,0.2209069012807831,-0.5800385642932072,0.9395089576558892,double
200,122,128,0.624416417795402,189.5608683448283,48.40269551772016,+,-0.2188544648385864,0.09844637660974523,-0.9331995008049002,0.4197771773860003,double
200,122,129,0.6269194151293954,189.5754859258298,48.43726898479356,+,-0.05360698121001826,0.3043850949828434,-0.2291959729403474,1.301394639623824,double
200,123,128,0.6268925321231884,189.5754887275301,50.00398796666802,+,-0.2677051312105267,0.00485529560218656,-1.144536527392872,0.02075814962105579,double
200,123,129,0.629393290410731,189.5904827531609,50.20200604512725,+,-0.136658722542802,0.1813371314373769,-0.5858709578830049,0.7774122055158066,double
200,124,129,0.6318688644495204,189.6057167842658,51.85480004750681,+,-0.1776604432043825,0.09555412235714209,-0.7637676065800335,0.4107900555421432,double
