n,n_cusps,n_negF3,max_pstar,min_pstar,min_F3,E_half,min_E_minus_Ehalf,argmin_i,argmin_j,median_slope_jump,min_slope_jump,n_double_cusps,n_iv
1135,399,2,0.6518487211715497,0.5004403227671106,-668.3523735972877,1108.6135383213837,1.7846153241407592e-05,548,588,1.8797087952974927,0.05886869489584703,12,0
1136,404,5,0.6521549230242546,0.5004399262094813,-637.2504304892684,1109.6017044915168,1.2619454309970024e-05,549,588,1.8830165569114878,0.010430604584200656,26,0
1137,398,4,0.6520210896309568,0.500439548275159,-741.526865830341,1110.5898706612666,1.7799002534957253e-05,549,589,1.8819656238396032,0.005129548626329752,20,0
1138,402,3,0.6518877497001715,0.5004391531269805,-773.1536458775688,1111.5780472296537,1.2586455341079272e-05,550,589,1.8796849730582663,0.005663789466269909,22,0
1139,404,5,0.6521931115218637,0.5004387765040761,-664.3750302356855,1112.566223799274,1.7752111943991622e-05,550,590,1.879882614759778,0.008692418481580935,20,0
1140,403,7,0.6520595968448617,0.500438382757845,-671.2764338836195,1113.5544107385206,1.2553553460747935e-05,551,590,1.879462403454653,0.005224993838939209,28,0
1141,401,3,0.6519265731765581,0.5004380074395399,-672.9391948627257,1114.5425976797358,1.7705391201161547e-05,551,591,1.879660909685539,0.04428667075120693,20,0
1142,404,3,0.6522310995563383,0.5004376150878,-642.9057564545002,1115.5307949637395,1.2520719565145555e-05,552,591,1.8804864146745595,0.03209143008713239,20,0
1143,403,6,0.6520979020979177,0.5004372410673342,-725.5955240391593,1116.518992248209,1.7658844853940536e-05,552,592,1.8759006614941907,0.0013962391271028413,26,0
1144,402,1,0.6519651932124694,0.5004368501026988,-585.3632433701752,1117.5071998497817,1.2488311313063605e-05,553,592,1.8821670502825754,0.020985453235484213,28,0
1145,409,8,0.6518328003437762,0.5004364773733476,-663.5090347810857,1118.4954074515251,1.7612361943974975e-05,553,593,1.8765522272671258,0.003911315103307126,20,0
1146,406,7,0.6521360069746167,0.5004360877884676,-670.8310289133905,1119.4836253427932,1.2455685919121606e-05,554,593,1.8769291944214457,0.011005924015331016,22,0
1147,407,5,0.652003611402988,0.5004357163435568,-672.5230184238619,1120.4718432350903,1.7566273754709982e-05,554,594,1.878380347963769,0.008223434655958942,22,0
1148,404,3,0.6518715302845647,0.5004353281311287,-648.4997384296623,1121.4600713898187,1.2423472298905835e-05,555,594,1.8792066575308644,0.021372898305226998,32,0
1149,402,1,0.652173913043461,0.5004349579640238,-603.0346569443024,1122.4482995437463,1.7520540723126032e-05,555,595,1.8779275215314186,0.02790559145365233,12,0
1150,407,3,0.6520418293261663,0.500434571116824,-644.2987310010644,1123.436537935919,1.239124094354338e-05,556,595,1.8802492667996615,0.03906618204340627,24,0
1151,405,5,0.6519100585104226,0.5004342022209415,-662.4020138448417,1124.4247763260976,1.747481633174175e-05,556,596,1.8785323662692897,0.013688574223042127,20,0
1152,407,3,0.6522116218559394,0.5004338167317712,-670.1501205398338,1125.4130249277175,1.2359309494058834e-05,557,596,1.8788204778455984,0.06238518326509106,16,0
1153,413,7,0.6520798485438852,0.5004334491005793,-677.2093613252813,1126.4012735284364,1.74294295902655e-05,557,597,1.879064153007083,0.006269494083889338,22,0
1154,406,6,0.6519483865931437,0.5004330649622901,-678.8893436677986,1127.3895323121442,1.2327448757787351e-05,558,597,1.8794797293370957,0.001062911747389787,12,0
1155,412,4,0.6522491349480308,0.5004326985892891,-632.5467846428204,1128.3777910956494,1.738421156005643e-05,558,598,1.8797142777235933,0.012705334554862833,26,0
1156,412,4,0.652117670601992,0.5004323157948053,-746.657495592595,1129.3660600358292,1.2295810847717803e-05,559,598,1.8800500184354125,0.02421312357301133,32,0
1157,406,4,0.6519865160882558,0.5004319506735452,-728.3446530268856,1130.3543289775305,1.7339125406579114e-05,559,599,1.8803868006506588,0.0024410178828248594,27,0
1158,412,6,0.6522864538395934,0.5004315863687938,-691.4424074980474,1131.3426080490372,1.2264196811884176e-05,559,600,1.8805885068180999,0.014178855288129961,21,0
1159,415,7,0.6521552970300226,0.5004312053398897,-676.7124335427532,1132.3308871198967,1.7294352346652886e-05,560,600,1.880850410340753,0.026739621571529912,26,0
1160,407,5,0.6520244485351131,0.5004308422763307,-683.5110923026981,1133.3191762963659,1.223213917000976e-05,560,601,1.8811655632300015,0.031806637875065005,20,0
1161,412,2,0.6523235800344226,0.500430462574976,-685.1792360630268,1134.3074654707407,1.724976732475625e-05,561,601,1.881527045850564,0.05550346582200793,21,0
1162,412,3,0.6521927293418559,0.5004301007462737,-655.701990118382,1135.2957647247063,1.220048579853028e-05,561,602,1.881787779455233,0.0011291731105051775,28,1
1163,410,2,0.652062185457318,0.5004297223655426,-725.6818134708395,1136.284063978606,1.720530713100743e-05,562,602,1.8820677478440035,0.027204143992680438,20,0
1164,414,4,0.6523605150214968,0.5004293617653934,-674.2364341100475,1137.2723732834008,1.216882105836703e-05,562,603,1.8823939887531806,0.03509578675922232,20,0
1165,412,7,0.6518010291596371,0.5004289846984075,-675.9771101398758,1138.2606825898647,1.716123119877011e-05,563,603,1.8824577062571781,0.010019625298431223,22,0
1166,413,4,0.6516710738112884,0.5004286253205855,-699.7953398593278,1139.2490019216807,1.2137338217144134e-05,563,604,1.8829842726799257,0.029974721809449392,21,0
1167,414,6,0.6523972585941897,0.5004282495605108,-689.7372609427301,1140.237321254668,1.711696518214012e-05,564,604,1.8832709352309258,0.011158949320072636,26,1
1168,411,4,0.6518391787851451,0.5004278913987925,-729.761337918426,1141.2256505869514,1.2105924724892247e-05,564,605,1.883567711582169,0.008361134606218904,26,0
1169,414,4,0.6517095237727369,0.5004275169388469,-655.3312980940324,1142.2139799203312,1.7073261687983177e-05,565,605,1.8835215830982865,0.01968668780474391,14,0
1170,412,4,0.6520069539102552,0.5004271599870682,-724.3165793182469,1143.2023192262684,1.2074675623807707e-05,565,606,1.88416680054101,0.021613627012367458,20,0
1171,412,5,0.6518771331058544,0.5004267868205096,-680.9174723904424,1144.190658535946,1.7029629816533998e-05,566,606,1.8840549648372402,0.002992580289811915,32,0
1172,417,5,0.6517477770606745,0.5004264310725632,-682.6459087445477,1145.1790077921908,1.2043590231769485e-05,566,607,1.8811855484905355,0.016657526716827013,36,0
1173,415,6,0.6520444145705369,0.5004260591927061,-689.6050651623739,1146.1673570488101,1.6986111859296216e-05,567,607,1.881417580720501,0.012659998111701296,16,0
1174,411,4,0.6519148936172064,0.5004257046424946,-708.1023517197087,1147.1557162293152,1.2012542811135063e-05,567,608,1.8816512350239485,0.02200149628430401,28,0
1175,417,5,0.651785835179812,0.500425334042681,-728.1928669859059,1148.1440754115922,1.694303568910982e-05,568,608,1.8832514253522856,0.005232507955873555,28,0
1176,412,1,0.6520816842684023,0.5004249806841766,-598.2656830081173,1149.1324444903717,1.1981715260844794e-05,568,609,1.8828084158656972,0.01858533036362099,18,0
1177,419,4,0.6519524617996604,0.5004246113578291,-680.0951314306371,1150.120813570499,1.6899756928978604e-05,569,609,1.8783266093143958,0.004293579556113192,24,0
1178,420,8,0.6518236996203338,0.5004242591850206,-766.4993421780601,1151.109192523937,1.1950981843256159e-05,569,610,1.880561601933322,0.005326410624674362,29,0
1179,415,6,0.6521187644607518,0.5004238911255625,-725.9810771964285,1152.0975714765143,1.6857086620802875e-05,570,610,1.8801179279316453,0.043593034380635644,20,0
1180,422,3,0.6519898391194212,0.500423540132499,-695.9374804431079,1153.0859602781752,1.1920515817109845e-05,570,611,1.8796782310288602,0.047284663740275484,24,0
1181,416,3,0.6518613718565632,0.5004231733334327,-757.1225190107693,1154.0743490798986,1.6814435412015882e-05,571,611,1.8840294896387255,0.0073580292980373226,23,0
1182,415,2,0.6521556565889575,0.5004228235141838,-639.6736244809938,1155.0627477047385,1.1890246469192789e-05,571,612,1.8821924207448546,0.03474262705609736,24,0
1183,417,3,0.6520270270269001,0.5004224579690477,-679.0273378892,1156.0511463288387,1.6771879245425225e-05,572,612,1.8810595985103218,0.03213133364333416,22,0
1184,418,6,0.6518988533486734,0.500422109317744,-692.3411111388938,1157.0395547521484,1.1859784535772633e-05,572,613,1.8806160721393197,0.00023849571306066707,24,0
1185,418,6,0.6521923620803659,0.5004217450201123,-694.0469531385589,1158.0279631760277,1.6729589333408512e-05,573,613,1.8794910752686216,0.00018550488825419022,20,0
1186,417,2,0.6520640269585781,0.50042139753091,-695.7514271426702,1159.0163813730258,1.1829721188405529e-05,573,614,1.8804065130043366,0.05608976860240132,22,0
1187,416,3,0.6519361455412995,0.5004210344744052,-702.1953180873353,1160.0047995702055,1.668751451688877e-05,574,614,1.8799625107134834,0.03837198714659405,24,0
1188,415,3,0.6522288823476341,0.5004206881415034,-666.5217363340417,1160.9932275160857,1.1799863386841025e-05,574,615,1.8795150347319998,0.021450779727755862,16,0
1189,420,1,0.652100840336291,0.5004203263197934,-656.7609587729419,1161.9816554615759,1.6645692085148767e-05,575,615,1.8804402127752957,0.045206195610607645,18,0
1190,419,6,0.6519732498652498,0.500419981137429,-796.1364335563258,1162.9700931328416,1.1770048331527505e-05,575,616,1.877273042755608,0.011265976155752425,15,0
1191,427,9,0.6518459515216244,0.5004196205442173,-777.7449138918978,1163.958530802772,1.6603873973508598e-05,576,616,1.8761614841478416,0.019902704242976355,32,0
1192,425,5,0.6521374685668232,0.5004192765066612,-700.4974942340319,1164.9469781728644,1.1740250556613319e-05,576,617,1.8777350292734467,0.021830406709886688,26,0
1193,419,2,0.6520101677363763,0.5004189171357086,-803.1163880491425,1165.9354255435428,1.6562308246648172e-05,577,617,1.8793348685623377,0.008562038968280151,24,0
1194,421,4,0.6518831576437909,0.5004185742372764,-672.3103781650047,1166.9238825890961,1.1710589888025424e-05,577,618,1.878203256370501,0.0034651456149543884,14,0
1195,419,1,0.6521739130433578,0.5004182160823816,-589.4327271095144,1167.912339634766,1.6521127918167622e-05,578,618,1.881207381198138,0.011704760978977572,18,0
1196,425,6,0.6520469005567685,0.5004178743174211,-691.1298618990995,1168.900806332406,1.1681401019814075e-05,578,619,1.8746215626314058,0.0011476632658066364,22,0
1197,425,8,0.6519201774278968,0.500417517372404,-1640.540192254432,1169.8892730291964,1.647977251195698e-05,579,619,1.8748462008961078,0.00015565478266173043,24,0
1198,421,4,0.6522101751462067,0.5004171767353022,-705.1907737285663,1170.8777493535335,1.1651773547782796e-05,579,620,1.8764197076918583,0.02892729709037918,16,0
1199,425,4,0.6520834497140376,0.5004168209940523,-762.6938913711124,1171.8662256775422,1.6438643797300756e-05,580,620,1.8766523990487114,0.03457364726916005,38,0
1200,421,2,0.6519570122701267,0.5004164814792431,-708.5544312561525,1172.8547116058994,1.1622714509940124e-05,580,621,1.8768866264546804,0.008164373342548688,16,0
1201,425,9,0.6522462562396182,0.5004161269356875,-1711.668842691117,1173.8431975331378,1.6397964145653532e-05,581,621,1.8758478594188919,0.0006946963203337959,20,0
1202,424,2,0.6521198165825609,0.5004157885376176,-696.2036551266515,1174.831693038773,1.1593831004574895e-05,581,622,1.8768136516932041,0.043871889982551565,26,0
